CPU: 12 | Memory: 4297699328 | Platform: win32
CPU: 12 | Memory: 4336689152 | Platform: win32
CPU: 12 | Memory: 4308520960 | Platform: win32
CPU: 12 | Memory: 4313309184 | Platform: win32
CPU: 12 | Memory: 4356378624 | Platform: win32
CPU: 12 | Memory: 4405096448 | Platform: win32
CPU: 12 | Memory: 4399931392 | Platform: win32
CPU: 12 | Memory: 4398678016 | Platform: win32
CPU: 12 | Memory: 4392300544 | Platform: win32
CPU: 12 | Memory: 4391763968 | Platform: win32
CPU: 12 | Memory: 4503605248 | Platform: win32
CPU: 12 | Memory: 4524998656 | Platform: win32
CPU: 12 | Memory: 4533067776 | Platform: win32
CPU: 12 | Memory: 4492513280 | Platform: win32
CPU: 12 | Memory: 4407341056 | Platform: win32
CPU: 12 | Memory: 4435226624 | Platform: win32
CPU: 12 | Memory: 4352786432 | Platform: win32
CPU: 12 | Memory: 4185939968 | Platform: win32
CPU: 12 | Memory: 4180959232 | Platform: win32
CPU: 12 | Memory: 4171706368 | Platform: win32
CPU: 12 | Memory: 4169867264 | Platform: win32
CPU: 12 | Memory: 3878293504 | Platform: win32
CPU: 12 | Memory: 3907514368 | Platform: win32
CPU: 12 | Memory: 3974561792 | Platform: win32
CPU: 12 | Memory: 3980967936 | Platform: win32
CPU: 12 | Memory: 3989757952 | Platform: win32
CPU: 12 | Memory: 4021874688 | Platform: win32
CPU: 12 | Memory: 4045594624 | Platform: win32
CPU: 12 | Memory: 4021735424 | Platform: win32
CPU: 12 | Memory: 4022149120 | Platform: win32
CPU: 12 | Memory: 4056113152 | Platform: win32
CPU: 12 | Memory: 4058316800 | Platform: win32
CPU: 12 | Memory: 4117020672 | Platform: win32
CPU: 12 | Memory: 4110557184 | Platform: win32
CPU: 12 | Memory: 4106428416 | Platform: win32
CPU: 12 | Memory: 4104007680 | Platform: win32
CPU: 12 | Memory: 4088733696 | Platform: win32
CPU: 12 | Memory: 4070653952 | Platform: win32
CPU: 12 | Memory: 4049317888 | Platform: win32
CPU: 12 | Memory: 4051456000 | Platform: win32
CPU: 12 | Memory: 3994144768 | Platform: win32
CPU: 12 | Memory: 3974799360 | Platform: win32
CPU: 12 | Memory: 3944153088 | Platform: win32
CPU: 12 | Memory: 3927965696 | Platform: win32
CPU: 12 | Memory: 3921842176 | Platform: win32
CPU: 12 | Memory: 3933356032 | Platform: win32
CPU: 12 | Memory: 3936002048 | Platform: win32
CPU: 12 | Memory: 3951394816 | Platform: win32
CPU: 12 | Memory: 4007358464 | Platform: win32
CPU: 12 | Memory: 4386160640 | Platform: win32
CPU: 12 | Memory: 4344283136 | Platform: win32
CPU: 12 | Memory: 4354732032 | Platform: win32
CPU: 12 | Memory: 4384481280 | Platform: win32
CPU: 12 | Memory: 4414042112 | Platform: win32
CPU: 12 | Memory: 4422709248 | Platform: win32
CPU: 12 | Memory: 4409065472 | Platform: win32
CPU: 12 | Memory: 4426571776 | Platform: win32
CPU: 12 | Memory: 4419432448 | Platform: win32
CPU: 12 | Memory: 4550606848 | Platform: win32
CPU: 12 | Memory: 4577198080 | Platform: win32
CPU: 12 | Memory: 4575166464 | Platform: win32
CPU: 12 | Memory: 4429938688 | Platform: win32
CPU: 12 | Memory: 4358307840 | Platform: win32
CPU: 12 | Memory: 4363456512 | Platform: win32
CPU: 12 | Memory: 4418146304 | Platform: win32
CPU: 12 | Memory: 4428603392 | Platform: win32
CPU: 12 | Memory: 4370247680 | Platform: win32
CPU: 12 | Memory: 4426407936 | Platform: win32
CPU: 12 | Memory: 4474527744 | Platform: win32
